crop_name,year_start,india_cost_unweighted,india_cost_wavg_sample
Cotton,2024,116911.574818,116911.57481799998
Cotton,2025,124753.77946799998,124753.77946799998
Gram,1996,7621.488,7722.079059405941
Gram,1997,7681.552000000001,7572.983037156704
Gram,1998,7827.002,7563.6356501548
Gram,1999,8185.2,8493.166780383795
Gram,2000,10424.6475,10661.707505112476
Gram,2001,10793.69,11142.291669449081
Gram,2002,9885.62125,11011.917512776832
Gram,2003,10211.08,11102.994349845201
Gram,2004,9954.021111111111,10476.426729559747
Gram,2005,12077.393333333333,12948.73131648936
Gram,2006,13160.501,14583.98326139089
Gram,2007,13373.658000000001,14888.350453938585
Gram,2008,16419.729,17194.69124839125
Gram,2009,16909.612,18035.3825
Gram,2010,18877.911,19722.173705179284
Gram,2011,25184.731111111112,28235.263353751914
Gram,2012,29009.763333333332,30550.04730156292
Gram,2013,28436.076666666664,29873.649210526317
Gram,2014,31498.878000000004,32916.00258160237
Gram,2015,35266.880000000005,36599.71213517665
Gram,2016,41342.593,45407.14781021898
Gram,2017,44751.66846153846,45068.49330994153
Gram,2018,43777.46571428572,42815.412942008494
Gram,2019,45145.70833333332,45165.371318537866
Gram,2020,50217.40071428572,48965.97264634147
Gram,2021,52768.39250000001,52835.991555285545
Gram,2022,57169.98024799999,57169.98024799999
Gram,2023,62679.751638,62679.751638
Gram,2024,67023.696686,67023.696686
Gram,2025,70421.31012399998,70421.310124
Grapes,2010,29673.080462000005,29673.080462000005
Grapes,2011,31634.65064,31634.650639999996
Grapes,2012,33890.766668000004,33890.766668
Grapes,2013,36913.666136,36913.66613600001
Grapes,2014,39876.47512299999,39876.47512299999
Grapes,2015,44027.00258600001,44027.002586
Grapes,2016,47869.217308,47869.217308
Grapes,2017,49104.56427899999,49104.56427899999
Grapes,2018,52403.43253,52403.43252999999
Grapes,2019,56639.28565199999,56639.285652000006
Grapes,2020,61675.005464,61675.005464
Grapes,2021,66521.106442,66521.10644199999
Grapes,2022,72033.395771,72033.395771
Grapes,2023,78396.384463,78396.38446299998
Grapes,2024,83441.53464,83441.53464000001
Grapes,2025,90045.201007,90045.201007
Groundnut,1996,13052.491999999998,13002.223860398859
Groundnut,1997,13427.683333333334,13453.784327784892
Groundnut,1998,14889.486666666666,14846.363564753005
Groundnut,1999,14329.646666666666,13202.104920424403
Groundnut,2000,13866.695,12715.921229508196
Groundnut,2001,15318.933333333334,14317.365793103447
Groundnut,2002,16969.47,15494.205733695651
Groundnut,2003,18036.6,17596.958134969325
Groundnut,2004,19220.246,18799.5902170767
Groundnut,2005,19087.735999999997,19104.726481481484
Groundnut,2006,19179.912,19169.770770577936
Groundnut,2007,23634.701999999997,24108.235562805876
Groundnut,2008,27700.923333333336,28212.970145719493
Groundnut,2009,30364.846666666668,31133.44573770492
Groundnut,2010,37079.541666666664,37218.60212314225
Groundnut,2011,47741.343333333345,47796.454274661504
Groundnut,2012,57718.69999999999,59184.845899581596
Groundnut,2013,58048.263333333336,60185.05736951983
Groundnut,2014,57857.48857142857,61138.80436008677
Groundnut,2015,66829.84,68403.00840764331
Groundnut,2016,68606.77428571429,72517.12787941788
Groundnut,2017,66084.21777777777,70489.78698591549
Groundnut,2018,67658.78099999999,68253.37361271678
Groundnut,2019,74597.827,76058.89482269505
Groundnut,2020,83339.08272727272,81605.13769130998
Groundnut,2021,91465.99454545455,87337.96284530387
Jowar,1996,6334.87,6343.482769230769
Jowar,1997,6173.866,6118.921607378129
Jowar,1998,6766.157499999999,6996.1777923976615
Jowar,1999,8133.886666666665,9396.968643835615
Jowar,2000,8030.765,9362.62157099698
Jowar,2001,9896.16,11311.576515580737
Jowar,2002,9819.859999999999,10490.980077041602
Jowar,2003,9972.721666666666,10821.304332784184
Jowar,2004,9052.436666666666,9410.229500805155
Jowar,2005,9980.848333333333,12077.969802371543
Jowar,2006,10616.798333333334,12121.907444219069
Jowar,2007,12142.091666666667,14316.190543259558
Jowar,2008,14549.975,16404.31323255814
Jowar,2009,15234.485,17225.15432835821
Jowar,2010,19821.665,21232.060216216218
Jowar,2011,24191.25,28209.796460481102
Jowar,2012,25677.424,28137.55198369565
Jowar,2013,30771.033999999996,31248.59315068493
Jowar,2014,31875.444999999996,33234.2540625
Jowar,2015,30523.021666666667,28502.2804601227
Jowar,2016,35011.14,33754.60550943397
Jowar,2017,43390.555,41545.03227272727
Jowar,2018,41251.362857142856,41450.32532467532
Jowar,2019,48360.71000000001,48645.126264150946
Jowar,2020,52070.202,45383.07721030042
Jowar,2021,56317.13166666666,50558.50926966292
Jute,1996,13946.936666666666,14571.751903409091
Jute,1997,11735.935,13594.455578034684
Jute,1998,13196.760000000002,15152.60356321839
Jute,1999,16091.32,17122.68079575597
Jute,2000,15789.29,16547.271605633803
Jute,2001,16867.100000000002,17770.40957142857
Jute,2002,17949.850000000002,19634.602834394904
Jute,2003,17850.55,19711.334207317075
Jute,2004,19540.566666666666,21468.948777429465
Jute,2005,23636.516666666663,23886.089709677417
Jute,2006,24377.566666666666,26248.29308411215
Jute,2007,25085.89333333333,27091.492192691032
Jute,2008,30398.583333333332,31981.869158878504
Jute,2009,34743.89333333333,37925.858289473676
Jute,2010,44741.166666666664,48249.29323232324
Jute,2011,50722.26,52310.62237012987
Jute,2012,58922.79,58913.31343283582
Jute,2013,64029.19666666668,63870.49571428572
Jute,2014,61198.99,73673.54936507935
Jute,2015,64532.1325,76589.86836257309
Jute,2016,70769.40999999999,86348.99077922078
Jute,2017,77104.51333333335,91244.27888888889
Jute,2018,80882.39,94826.98255813954
Jute,2019,80813.56666666667,95719.44935222671
Jute,2020,83729.61666666668,101702.3420441989
Jute,2021,81265.63,106023.71036458334
Jute,2022,113532.11354800004,113532.11354800004
Jute,2023,120776.68896200003,120776.68896200003
Jute,2024,128912.27003400004,128912.27003400003
Jute,2025,139874.65510400003,139874.655104
Kidneybeans,2010,8909.049848,8909.049848
Kidneybeans,2011,9587.067528999998,9587.067528999998
Kidneybeans,2012,10710.974642,10710.974642
Kidneybeans,2013,11604.411840999997,11604.411840999997
Kidneybeans,2014,12570.355094999999,12570.355094999999
Kidneybeans,2015,13901.661372000002,13901.661372
Kidneybeans,2016,14882.644290000002,14882.644290000002
Kidneybeans,2017,14976.944639999998,14976.944640000002
Kidneybeans,2018,14908.172337999998,14908.172337999997
Kidneybeans,2019,16544.002021,16544.002021
Kidneybeans,2020,17457.188778,17457.188778
Kidneybeans,2021,18869.11,18869.109999999997
Kidneybeans,2022,20374.693497,20374.693497
Kidneybeans,2023,22447.062165,22447.062165
Kidneybeans,2024,24356.663068,24356.663068000005
Kidneybeans,2025,25632.969380000002,25632.96938
Lentil,1999,9123.443333333335,9162.561677631578
Lentil,2000,8882.473333333333,8811.72880239521
Lentil,2001,9353.153333333334,9592.312814371257
Lentil,2002,7766.332,9935.334802431611
Lentil,2003,8894.439999999999,10331.82266881029
Lentil,2010,17312.696,18821.661546961324
Lentil,2011,21262.497499999998,20379.81406926407
Lentil,2012,25071.36,23609.279256198348
Lentil,2013,25704.5925,25099.92157657658
Lentil,2014,32487.7575,33175.4763592233
Lentil,2015,34765.425,34817.146637168145
Lentil,2016,37652.450000000004,37730.15975
Lentil,2017,40155.585999999996,33735.74373831776
Lentil,2018,41157.60666666667,37042.267397260264
Lentil,2019,40173.305,40687.911920903956
Lentil,2020,44984.5825,42728.658479262675
Lentil,2021,45777.1225,45996.83358208956
Lentil,2022,49540.55988700001,49540.559887
Lentil,2023,53909.930279,53909.93027899999
Lentil,2024,57612.061866000004,57612.061866
Lentil,2025,60443.454044,60443.454044
Maize,1996,8429.003333333332,7968.003134517768
Maize,1997,8263.763333333334,8184.138222811672
Maize,1998,9504.091428571428,8928.597326732674
Maize,1999,10898.595714285713,10447.702413793104
Maize,2000,10991.332857142856,10662.200947368421
Maize,2001,11264.06,10890.973994708995
Maize,2002,12140.003333333334,11787.63713776722
Maize,2003,12869.468000000003,13386.216420704846
Maize,2004,12224.241999999998,12748.99450323974
Maize,2005,14090.994166666665,15274.98283349562
Maize,2006,14331.539166666664,15281.196616541354
Maize,2007,17184.886666666665,18209.868982725526
Maize,2008,20273.5,20870.168715874624
Maize,2009,22095.928999999996,22709.64600831601
Maize,2010,25512.896,25177.449712460064
Maize,2011,30127.867,30693.432169042768
Maize,2012,36556.416000000005,36211.141143756555
Maize,2013,39990.513999999996,40684.51694989107
Maize,2014,48479.50461538461,45314.19704433498
Maize,2015,51809.056923076925,49200.29799356223
Maize,2016,52337.76076923077,50343.352439024384
Maize,2017,56956.89357142858,52449.94068558968
Maize,2018,59939.14266666667,53858.73624370593
Maize,2019,65376.37733333334,58453.46304703476
Maize,2020,67669.31384615385,62369.094621513934
Maize,2021,71337.74928571428,66977.33751214771
Maize,2022,73495.53660499999,73495.53660499999
Maize,2023,79180.800795,79180.800795
Maize,2024,85207.07327499999,85207.073275
Maize,2025,90872.74547399997,90872.74547399998
Mango,2010,9424.903345,9424.903344999999
Mango,2011,9978.464604,9978.464603999997
Mango,2012,10725.346431,10725.346430999998
Mango,2013,11694.300092000001,11694.300092000001
Mango,2014,12685.218306,12685.218306
Mango,2015,13932.664377000001,13932.664377000003
Mango,2016,15108.329414,15108.329414
Mango,2017,15429.410869999998,15429.41087
Mango,2018,16526.080179,16526.080179
Mango,2019,17907.220286,17907.220285999996
Mango,2020,19361.397102,19361.397102
Mango,2021,20919.827576000003,20919.827576
Mango,2022,23233.368566,23233.368565999997
Mango,2023,24734.514379,24734.514379
Mango,2024,26540.821606,26540.821606000005
Mango,2025,28170.013487000007,28170.013487
Masur,2004,8030.6,10179.993162393162
Masur,2005,10603.752499999999,11650.430222929936
Masur,2006,10861.86,11726.018745247147
Masur,2007,12857.8,12247.413818897638
Masur,2008,14935.765999999998,14955.32491017964
Masur,2009,17218.026,17913.87166180758
Masur,2010,17312.696,18821.661546961324
Masur,2011,21262.497499999998,20379.81406926407
Masur,2012,25071.36,23609.279256198348
Masur,2013,25704.5925,25099.92157657658
Masur,2014,32487.7575,33175.4763592233
Masur,2015,34765.425,34817.146637168145
Masur,2016,37652.450000000004,37730.15975
Masur,2017,40155.585999999996,33735.74373831776
Masur,2018,41157.60666666667,37042.267397260264
Masur,2019,40173.305,40687.911920903956
Masur,2020,44984.5825,42728.658479262675
Masur,2021,45777.1225,45996.83358208956
Moong,1996,4938.25,4634.775848101266
Moong,1997,5151.84,4681.845547073792
Moong,1998,5703.883333333334,5540.893822115385
Moong,1999,7007.75,6924.253729603729
Moong,2000,7051.9025,6766.5855684454755
Moong,2001,8186.129999999999,7778.851362725451
Moong,2002,7395.587500000001,6960.196147308782
Moong,2003,7092.9025,6951.382808080808
Moong,2004,7197.785,7337.837559241705
Moong,2005,8381.189999999999,8060.265470085471
Moong,2006,9670.685999999998,9465.431575757573
Moong,2007,9674.831999999999,9466.945078809107
Moong,2008,10776.395999999999,10010.189469879519
Moong,2009,12544.176000000001,12843.020900473934
Moong,2010,14959.018,15765.757729007635
Moong,2011,17957.83,17609.892626931567
Moong,2012,21194.201666666664,20239.68180555556
Moong,2013,23226.371666666662,21403.717411504425
Moong,2014,23994.743333333332,22182.34758483034
Moong,2015,26610.293333333335,24359.005762711862
Moong,2016,27925.896666666667,25814.694924012154
Moong,2017,28033.850909090906,25433.878556876058
Moong,2018,28353.700833333336,26200.09451612904
Moong,2019,30948.674166666675,28968.37738181818
Moong,2020,35944.05818181818,29479.83610769231
Moong,2021,38034.46545454545,33034.49590277778
Moong,2022,35586.02747400001,35586.027474
Moong,2023,38824.53541999999,38824.53542
Moong,2024,41518.34298600001,41518.342986
Moong,2025,43946.764110000004,43946.76411
Mothbeans,2010,18548.730186,18548.730185999997
